,matchId,home,away,file,hometeam.id,awayteam.id
119,1826863,Luton,Queens Park Rangers,1826863_Luton_Queens Park Rangers.csv,95,171
120,1826933,Sunderland,Oxford,1826933_Sunderland_Oxford.csv,16,197
121,1826987,Preston,Coventry,1826987_Preston_Coventry.csv,181,17
122,1827083,Middlesbrough,Blackburn,1827083_Middlesbrough_Blackburn.csv,21,158
123,1826917,Stoke,West Bromwich Albion,1826917_Stoke_West Bromwich Albion.csv,96,175
124,1826924,Preston,Luton,1826924_Preston_Luton.csv,181,95
125,1826883,Blackburn,Bristol City,1826883_Blackburn_Bristol City.csv,158,182
126,1826887,Leeds,Burnley,1826887_Leeds_Burnley.csv,19,184
127,1826990,Middlesbrough,Bristol City,1826990_Middlesbrough_Bristol City.csv,21,182
128,1826888,Middlesbrough,Preston,1826888_Middlesbrough_Preston.csv,21,181
129,1826930,Norwich,Blackburn,1826930_Norwich_Blackburn.csv,168,158
130,1826963,Plymouth,Watford,1826963_Plymouth_Watford.csv,212,27
131,1826880,Blackburn,Queens Park Rangers,1826880_Blackburn_Queens Park Rangers.csv,158,171
132,1826865,Millwall,Sheffield Wednesday,1826865_Millwall_Sheffield Wednesday.csv,192,25
133,1826932,Portsmouth,Luton,1826932_Portsmouth_Luton.csv,169,95
134,1827039,Swansea,Bristol City,1827039_Swansea_Bristol City.csv,259,182
135,1827042,Middlesbrough,Luton,1827042_Middlesbrough_Luton.csv,21,95
136,1827082,Watford,Bristol City,1827082_Watford_Bristol City.csv,27,182
137,1827046,Preston,Sunderland,1827046_Preston_Sunderland.csv,181,16
138,1827047,Coventry,Derby,1827047_Coventry_Derby.csv,17,20
139,1826901,Luton,Oxford,1826901_Luton_Oxford.csv,95,197
140,1827031,Swansea,Cardiff,1827031_Swansea_Cardiff.csv,259,188
141,1827041,Norwich,Bristol City,1827041_Norwich_Bristol City.csv,168,182
142,1826952,Bristol City,Burnley,1826952_Bristol City_Burnley.csv,182,184
143,1827058,Queens Park Rangers,Sunderland,1827058_Queens Park Rangers_Sunderland.csv,171,16
144,1826961,Oxford,Middlesbrough,1826961_Oxford_Middlesbrough.csv,197,21
145,1826907,Sheffield Wednesday,Queens Park Rangers,1826907_Sheffield Wednesday_Queens Park Rangers.csv,25,171
146,1826891,Oxford,Burnley,1826891_Oxford_Burnley.csv,197,184
147,1826872,Cardiff,Sunderland,1826872_Cardiff_Sunderland.csv,188,16
148,1826922,Middlesbrough,Portsmouth,1826922_Middlesbrough_Portsmouth.csv,21,169
149,1826900,Coventry,Blackburn,1826900_Coventry_Blackburn.csv,17,158
150,1826958,Millwall,Sunderland,1826958_Millwall_Sunderland.csv,192,16
151,1827044,Hull,West Bromwich Albion,1827044_Hull_West Bromwich Albion.csv,214,175
152,1826934,Middlesbrough,Sheffield United,1826934_Middlesbrough_Sheffield United.csv,21,163
153,1827108,Cardiff,Queens Park Rangers,1827108_Cardiff_Queens Park Rangers.csv,188,171
154,1827056,Stoke,Derby,1827056_Stoke_Derby.csv,96,20
155,1826906,Portsmouth,West Bromwich Albion,1826906_Portsmouth_West Bromwich Albion.csv,169,175
156,1826986,Queens Park Rangers,Portsmouth,1826986_Queens Park Rangers_Portsmouth.csv,171,169
157,1826911,Norwich,Watford,1826911_Norwich_Watford.csv,168,27
158,1826931,Plymouth,Hull,1826931_Plymouth_Hull.csv,212,214
159,1827053,Oxford,Hull,1827053_Oxford_Hull.csv,197,214
160,1827022,Swansea,Leeds,1827022_Swansea_Leeds.csv,259,19
161,1826867,Sheffield United,Queens Park Rangers,1826867_Sheffield United_Queens Park Rangers.csv,163,171
162,1826892,Oxford,Stoke,1826892_Oxford_Stoke.csv,197,96
163,1827002,West Bromwich Albion,Cardiff,1827002_West Bromwich Albion_Cardiff.csv,175,188
164,1827035,Swansea,Norwich,1827035_Swansea_Norwich.csv,259,168
165,1827009,Blackburn,Swansea,1827009_Blackburn_Swansea.csv,158,259
166,1826890,Millwall,Luton,1826890_Millwall_Luton.csv,192,95
167,1827727,Blackburn,Derby,1827727_Blackburn_Derby.csv,158,20
168,1826940,Burnley,Preston,1826940_Burnley_Preston.csv,184,181
169,1826948,Watford,Oxford,1826948_Watford_Oxford.csv,27,197
170,1827063,Leeds,Plymouth,1827063_Leeds_Plymouth.csv,19,212
171,1827080,Stoke,Preston,1827080_Stoke_Preston.csv,96,181
172,1826935,Luton,Sunderland,1826935_Luton_Sunderland.csv,95,16
173,1827015,Cardiff,Norwich,1827015_Cardiff_Norwich.csv,188,168
174,1827020,Cardiff,Blackburn,1827020_Cardiff_Blackburn.csv,188,158
175,1826975,Sheffield United,Oxford,1826975_Sheffield United_Oxford.csv,163,197
176,1826862,Oxford,Norwich,1826862_Oxford_Norwich.csv,197,168
177,1826889,Millwall,Preston,1826889_Millwall_Preston.csv,192,181
178,1827010,Cardiff,Plymouth,1827010_Cardiff_Plymouth.csv,188,212
179,1827122,Derby,Swansea,1827122_Derby_Swansea.csv,20,259
180,1826967,Norwich,Middlesbrough,1826967_Norwich_Middlesbrough.csv,168,21
181,1826855,Watford,Derby,1826855_Watford_Derby.csv,27,20
182,1826988,Oxford,West Bromwich Albion,1826988_Oxford_West Bromwich Albion.csv,197,175
183,1826897,Sheffield Wednesday,West Bromwich Albion,1826897_Sheffield Wednesday_West Bromwich Albion.csv,25,175
184,1826895,Portsmouth,Sheffield United,1826895_Portsmouth_Sheffield United.csv,169,163
185,1827017,Swansea,Watford,1827017_Swansea_Watford.csv,259,27
186,1826954,Coventry,Sheffield United,1826954_Coventry_Sheffield United.csv,17,163
187,1826929,Derby,Middlesbrough,1826929_Derby_Middlesbrough.csv,20,21
188,1827079,Norwich,Plymouth,1827079_Norwich_Plymouth.csv,168,212
189,1826868,Sheffield Wednesday,Plymouth,1826868_Sheffield Wednesday_Plymouth.csv,25,212
190,1826926,Sheffield Wednesday,Leeds,1826926_Sheffield Wednesday_Leeds.csv,25,19
191,1827051,Watford,Blackburn,1827051_Watford_Blackburn.csv,27,158
192,1826928,Coventry,Oxford,1826928_Coventry_Oxford.csv,17,197
193,1826909,Burnley,Portsmouth,1826909_Burnley_Portsmouth.csv,184,169
194,1826972,Burnley,Queens Park Rangers,1826972_Burnley_Queens Park Rangers.csv,184,171
195,1827018,Luton,Cardiff,1827018_Luton_Cardiff.csv,95,188
196,1826873,Plymouth,Stoke,1826873_Plymouth_Stoke.csv,212,96
197,1826866,Stoke,Coventry,1826866_Stoke_Coventry.csv,96,17
198,1827726,Preston,Sheffield United,1827726_Preston_Sheffield United.csv,181,163
199,1826916,Sunderland,Middlesbrough,1826916_Sunderland_Middlesbrough.csv,16,21
200,1826973,Hull,Sheffield Wednesday,1826973_Hull_Sheffield Wednesday.csv,214,25
201,1826915,Stoke,Hull,1826915_Stoke_Hull.csv,96,214
202,1827089,Oxford,Millwall,1827089_Oxford_Millwall.csv,197,192
203,1827071,Watford,Queens Park Rangers,1827071_Watford_Queens Park Rangers.csv,27,171
204,1827084,Blackburn,Leeds,1827084_Blackburn_Leeds.csv,158,19
205,1827121,Coventry,Cardiff,1827121_Coventry_Cardiff.csv,17,188
206,1827085,Bristol City,Plymouth,1827085_Bristol City_Plymouth.csv,182,212
207,1827090,Preston,West Bromwich Albion,1827090_Preston_West Bromwich Albion.csv,181,175
208,1827120,Swansea,Portsmouth,1827120_Swansea_Portsmouth.csv,259,169
209,1827087,Middlesbrough,Hull,1827087_Middlesbrough_Hull.csv,21,214
210,1827092,Stoke,Burnley,1827092_Stoke_Burnley.csv,96,184
211,1827091,Sheffield United,Sunderland,1827091_Sheffield United_Sunderland.csv,163,16
212,1827088,Norwich,Luton,1827088_Norwich_Luton.csv,168,95
213,1827117,Plymouth,Swansea,1827117_Plymouth_Swansea.csv,212,259
214,1826995,Portsmouth,Bristol City,1826995_Portsmouth_Bristol City.csv,169,182
215,1827005,Leeds,Middlesbrough,1827005_Leeds_Middlesbrough.csv,19,21
216,1827114,Swansea,Sunderland,1827114_Swansea_Sunderland.csv,259,16
217,1827073,Portsmouth,Norwich,1827073_Portsmouth_Norwich.csv,169,168
218,1827086,Derby,Sheffield Wednesday,1827086_Derby_Sheffield Wednesday.csv,20,25
219,1827000,Derby,Portsmouth,1827000_Derby_Portsmouth.csv,20,169
220,1827067,Hull,Blackburn,1827067_Hull_Blackburn.csv,214,158
221,1827003,Burnley,Derby,1827003_Burnley_Derby.csv,184,20
222,1827075,Sunderland,Bristol City,1827075_Sunderland_Bristol City.csv,16,182
223,1827068,Leeds,Derby,1827068_Leeds_Derby.csv,19,20
224,1827007,Luton,Stoke,1827007_Luton_Stoke.csv,95,96
225,1826998,Coventry,Hull,1826998_Coventry_Hull.csv,17,214
226,1826991,Queens Park Rangers,Oxford,1826991_Queens Park Rangers_Oxford.csv,171,197
227,1827076,Hull,Watford,1827076_Hull_Watford.csv,214,27
228,1827069,Millwall,Coventry,1827069_Millwall_Coventry.csv,192,17
229,1827115,Stoke,Cardiff,1827115_Stoke_Cardiff.csv,96,188
230,1826999,Sheffield Wednesday,Preston,1826999_Sheffield Wednesday_Preston.csv,25,181
231,1826996,Bristol City,Queens Park Rangers,1826996_Bristol City_Queens Park Rangers.csv,182,171
232,1827066,Burnley,Middlesbrough,1827066_Burnley_Middlesbrough.csv,184,21
233,1827032,Middlesbrough,Millwall,1827032_Middlesbrough_Millwall.csv,21,192
234,1827027,Sheffield United,Plymouth,1827027_Sheffield United_Plymouth.csv,163,212
235,1827026,Preston,Leeds,1827026_Preston_Leeds.csv,181,19
236,1826994,Blackburn,Luton,1826994_Blackburn_Luton.csv,158,95
237,1826997,Queens Park Rangers,Norwich,1826997_Queens Park Rangers_Norwich.csv,171,168
238,1826993,West Bromwich Albion,Sheffield United,1826993_West Bromwich Albion_Sheffield United.csv,175,163
239,1827072,Millwall,Sheffield United,1827072_Millwall_Sheffield United.csv,192,163
240,1827001,Sunderland,Stoke,1827001_Sunderland_Stoke.csv,16,96
241,1827074,Sheffield Wednesday,Blackburn,1827074_Sheffield Wednesday_Blackburn.csv,25,158
242,1827116,Cardiff,Preston,1827116_Cardiff_Preston.csv,188,181
243,1827025,Oxford,Sheffield Wednesday,1827025_Oxford_Sheffield Wednesday.csv,197,25
244,1827118,Luton,Swansea,1827118_Luton_Swansea.csv,95,259
245,1826992,West Bromwich Albion,Coventry,1826992_West Bromwich Albion_Coventry.csv,175,17
246,1827105,Sunderland,Norwich,1827105_Sunderland_Norwich.csv,16,168
247,1827818,Hull,Swansea,1827818_Hull_Swansea.csv,214,259
248,1827107,Queens Park Rangers,Preston,1827107_Queens Park Rangers_Preston.csv,171,181
249,1827110,Millwall,Blackburn,1827110_Millwall_Blackburn.csv,192,158
250,1827093,Portsmouth,Coventry,1827093_Portsmouth_Coventry.csv,169,17
251,1827024,Norwich,Burnley,1827024_Norwich_Burnley.csv,168,184
252,1827106,Sheffield Wednesday,Stoke,1827106_Sheffield Wednesday_Stoke.csv,25,96
253,1827817,Cardiff,Sheffield United,1827817_Cardiff_Sheffield United.csv,188,163
254,1827112,Leeds,Oxford,1827112_Leeds_Oxford.csv,19,197
255,1827104,West Bromwich Albion,Bristol City,1827104_West Bromwich Albion_Bristol City.csv,175,182
256,1827113,Burnley,Watford,1827113_Burnley_Watford.csv,184,27
257,1827028,Watford,West Bromwich Albion,1827028_Watford_West Bromwich Albion.csv,27,175
258,1827111,Luton,Derby,1827111_Luton_Derby.csv,95,20
259,1827109,Plymouth,Middlesbrough,1827109_Plymouth_Middlesbrough.csv,212,21
260,1827099,Middlesbrough,Sheffield Wednesday,1827099_Middlesbrough_Sheffield Wednesday.csv,21,25
261,1827097,Preston,Hull,1827097_Preston_Hull.csv,181,214
262,1827100,Derby,West Bromwich Albion,1827100_Derby_West Bromwich Albion.csv,20,175
263,1827819,Oxford,Cardiff,1827819_Oxford_Cardiff.csv,197,188
264,1827103,Blackburn,Sunderland,1827103_Blackburn_Sunderland.csv,158,16
265,1827098,Norwich,Millwall,1827098_Norwich_Millwall.csv,168,192
266,1827102,Bristol City,Luton,1827102_Bristol City_Luton.csv,182,95
267,1827820,Swansea,Queens Park Rangers,1827820_Swansea_Queens Park Rangers.csv,259,171
268,1827094,Watford,Portsmouth,1827094_Watford_Portsmouth.csv,27,169
269,1827095,Stoke,Leeds,1827095_Stoke_Leeds.csv,96,19
270,1827101,Coventry,Plymouth,1827101_Coventry_Plymouth.csv,17,212
271,1827096,Sheffield United,Burnley,1827096_Sheffield United_Burnley.csv,163,184
272,1827124,Blackburn,Hull,1827124_Blackburn_Hull.csv,158,214
273,1827129,Norwich,Queens Park Rangers,1827129_Norwich_Queens Park Rangers.csv,168,171
274,1827130,Oxford,Plymouth,1827130_Oxford_Plymouth.csv,197,212
275,1827132,Sheffield United,West Bromwich Albion,1827132_Sheffield United_West Bromwich Albion.csv,163,175
276,1827128,Middlesbrough,Burnley,1827128_Middlesbrough_Burnley.csv,21,184
277,1827127,Derby,Leeds,1827127_Derby_Leeds.csv,20,19
278,1827125,Bristol City,Portsmouth,1827125_Bristol City_Portsmouth.csv,182,169
279,1827131,Preston,Sheffield Wednesday,1827131_Preston_Sheffield Wednesday.csv,181,25
280,1827822,Watford,Cardiff,1827822_Watford_Cardiff.csv,27,188
281,1827808,Swansea,Luton,1827808_Swansea_Luton.csv,259,95
282,1827123,Stoke,Sunderland,1827123_Stoke_Sunderland.csv,96,16
283,1827126,Coventry,Millwall,1827126_Coventry_Millwall.csv,17,192
