,Zone,Average Value
0,zone_0,2.986598124098124
1,zone_1,4.183856421356421
2,zone_2,7.883928571428572
3,zone_3,8.206628787878786
4,zone_4,3.910597041847042
5,zone_5,2.299702380952381
6,zone_6,12.11309523809524
7,zone_7,14.30500541125541
8,zone_8,10.893181818181818
9,zone_9,11.635416666666664
10,zone_10,12.88532647907648
11,zone_11,10.328715728715729
12,zone_12,17.361877705627702
13,zone_13,17.081971500721504
14,zone_14,11.365882034632032
15,zone_15,11.368488455988453
16,zone_16,15.697348484848483
17,zone_17,16.53045634920635
18,zone_18,19.109505772005775
19,zone_19,12.262310606060607
20,zone_20,6.532160894660897
21,zone_21,6.896599927849927
22,zone_22,11.426902958152958
23,zone_23,18.50749458874459
24,zone_24,16.36909271284271
25,zone_25,7.165349927849927
26,zone_26,3.793217893217894
27,zone_27,3.8713924963924957
28,zone_28,7.393885281385283
29,zone_29,17.223538961038958
30,zone_30,5.452651515151516
31,zone_31,2.384902597402597
32,zone_32,1.1144751082251083
33,zone_33,1.158333333333333
34,zone_34,2.4807269119769115
35,zone_35,5.955140692640693
