,Zone,Average Value
0,zone_0,6.1120992534036
1,zone_1,4.81772205753184
2,zone_2,13.620601394378566
3,zone_3,15.083882301273604
4,zone_4,4.883213932806323
5,zone_5,5.065148770311814
6,zone_6,19.876386144049196
7,zone_7,19.11495388669302
8,zone_8,13.433417050944223
9,zone_9,14.749402997364953
10,zone_10,17.411499505928855
11,zone_11,17.628705533596843
12,zone_12,23.60008371761089
13,zone_13,21.712910353535353
14,zone_14,13.84259716732543
15,zone_15,13.984333827404482
16,zone_16,20.455842391304348
17,zone_17,23.26801987263944
18,zone_18,24.419411506368036
19,zone_19,16.031785243741766
20,zone_20,8.744874011857705
21,zone_21,9.438584211682038
22,zone_22,15.744462285902506
23,zone_23,24.977952075098816
24,zone_24,18.655357927097054
25,zone_25,8.795612373737374
26,zone_26,4.573163702239788
27,zone_27,4.47169384057971
28,zone_28,9.101277722880981
29,zone_29,20.102759936319718
30,zone_30,11.155433410188841
31,zone_31,3.4032444005270093
32,zone_32,0.5914100241545894
33,zone_33,0.6279026679841897
34,zone_34,3.504103535353536
35,zone_35,12.195693346508564
